combo_id,hidden_layer_sizes,activation,solver,max_iter,cv_mean_accuracy,cv_std_accuracy,cv_mean_f1,cv_std_f1
1,"(3, 2)",relu,adam,5000,1.0,0.0,,
2,"(3, 2)",relu,adam,10000,1.0,0.0,,
3,"(3, 2)",tanh,adam,5000,1.0,0.0,,
4,"(3, 2)",tanh,adam,10000,1.0,0.0,,
5,"(3, 2)",logistic,adam,5000,1.0,0.0,,
6,"(3, 2)",logistic,adam,10000,1.0,0.0,,
7,"(10, 2)",relu,adam,5000,1.0,0.0,,
8,"(10, 2)",relu,adam,10000,1.0,0.0,,
9,"(10, 2)",tanh,adam,5000,1.0,0.0,,
10,"(10, 2)",tanh,adam,10000,1.0,0.0,,
11,"(10, 2)",logistic,adam,5000,1.0,0.0,,
12,"(10, 2)",logistic,adam,10000,1.0,0.0,,
13,"(3, 3)",relu,adam,5000,1.0,0.0,,
14,"(3, 3)",relu,adam,10000,1.0,0.0,,
15,"(3, 3)",tanh,adam,5000,1.0,0.0,,
16,"(3, 3)",tanh,adam,10000,1.0,0.0,,
17,"(3, 3)",logistic,adam,5000,1.0,0.0,,
18,"(3, 3)",logistic,adam,10000,1.0,0.0,,
19,"(10, 3)",relu,adam,5000,1.0,0.0,,
20,"(10, 3)",relu,adam,10000,1.0,0.0,,
21,"(10, 3)",tanh,adam,5000,1.0,0.0,,
22,"(10, 3)",tanh,adam,10000,1.0,0.0,,
23,"(10, 3)",logistic,adam,5000,1.0,0.0,,
24,"(10, 3)",logistic,adam,10000,1.0,0.0,,
25,"(3, 5)",relu,adam,5000,1.0,0.0,,
26,"(3, 5)",relu,adam,10000,1.0,0.0,,
27,"(3, 5)",tanh,adam,5000,1.0,0.0,,
28,"(3, 5)",tanh,adam,10000,1.0,0.0,,
29,"(3, 5)",logistic,adam,5000,1.0,0.0,,
30,"(3, 5)",logistic,adam,10000,1.0,0.0,,
31,"(10, 5)",relu,adam,5000,1.0,0.0,,
32,"(10, 5)",relu,adam,10000,1.0,0.0,,
33,"(10, 5)",tanh,adam,5000,1.0,0.0,,
34,"(10, 5)",tanh,adam,10000,1.0,0.0,,
35,"(10, 5)",logistic,adam,5000,1.0,0.0,,
36,"(10, 5)",logistic,adam,10000,1.0,0.0,,
